amenity_name,n_properties
"clothing storage: closet, wardrobe, and dresser",10605
hdtv with netflix,10563
eigenständiger check-in,10396
standalone high chair - available upon request,10390
dryer – in unit,10155
washer – in unit,10081
dove body soap,10028
free residential garage on premises – 1 space,9923
exterior or entryway security camera present,9916
"coffee maker: drip coffee maker, nespresso",9909
life-size games,9890
arbeitsplatz,9715
movie theatre,9703
extrakissen und -decken,9667
paid washer – in unit,9628
private back garden – not fully fenced,9595
"private hot tub – available all year, open 24 hours",9542
gefrierschrank,9511
wasserkocher,9492
langzeitaufenthalte sind möglich,9420
weingläser,9377
free residential garage on premises,9331
reinigungsprodukte,9274
free parking garage on premises,9075
travel cot – available upon request,8986
standalone high chair - always at the listing,8955
gas cooker,8924
lg refrigerator,8758
ofen,8667
erste-hilfe-set,8664
baby bath – available upon request,8406
"children’s books and toys for ages 0–2 years old, 2–5 years old, 5–10 years old and 10+ years old",8068
vineyard view,8028
harbour view,8028
"private hot tub - available all year, open 24 hours",7983
golf course view,7981
ge­schirr­spül­ma­schi­ne,7980
gartenmöbel,7910
"coffee maker: drip coffee maker, french press",7891
movie theater,7867
desert view,7817
harbor view,7765
essbereich im freien,7750
free driveway parking on premises – 4 spaces,7712
sound system with bluetooth and aux,7705
abdunklung,7678
kaffeemaschine,7632
baby monitor,7550
high chair – available upon request,7549
free driveway parking on premises – 3 spaces,7549
stainless steel stove,7403
standalone high chair,7322
clothing storage: walk-in closet and dresser,7303
life size games,7250
children’s books and toys for ages 0–2 years old and 2–5 years old,7111
seife oder duschgel,7016
stainless steel double oven,7014
kostenlose parkplätze an der straße,6910
wäscheständer für kleidung,6849
black-out blinds,6837
paid pack ’n play/travel crib – available upon request,6771
paid crib – available upon request,6725
duschgel,6720
baby bath - available upon request,6678
herd,6643
ev charger – level 2,6577
"children’s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old",6507
kaffee,6440
washer – in building,6358
privater innenhof oder balkon,6342
backblech,6257
haustiere erlaubt,6205
"shared outdoor pool – available all year, open specific hours",6155
paid crib - available upon request,6139
outdoor kitchen with sink,6116
other stove,6070
tv with netflix,6067
paid parking lot on premises,6044
cot – available upon request,6011
shared back garden – fully fenced,5997
"coffee maker: nespresso, pour-over coffee",5962
shared bbq grill: charcoal,5938
grill,5935
paid pack ’n play/travel crib - available upon request,5913
high chair - available upon request,5881
badewanne,5828
exercise equipment: yoga mat,5752
ski-in/ski-out – near ski lifts,5722
"clothing storage: walk-in closet, closet, wardrobe and dresser",5713
waste compactor,5709
plug socket covers,5685
double oven,5683
children’s books and toys for ages 0-2 years old and 2-5 years old,5668
paid dryer – in unit,5625
free carport on premises – 1 space,5577
gepäck kann abgestellt werden,5562
private beach access – beachfront,5531
free parking on premises – 2 spaces,5375
dryer – in building,5375
shared outdoor pool,5304
sound system with aux,5297
"exercise equipment: free weights, yoga mat",5292
induction cooker,5286
"shared outdoor pool - available all year, open specific hours",5197
