amenity,source,estimated_cost,min_price,max_price,n_products
table and chairs,IKEA,504.5,99.99,999.99,152
shelf unit,IKEA,79.99,14.99,260.0,92
drawer dresser,IKEA,279.99,59.99,599.99,77
artificial potted plant,IKEA,12.99,1.29,99.99,76
rug,IKEA,99.99,4.99,599.99,72
table,IKEA,249.99,59.99,999.99,69
chair,IKEA,80.0,15.0,399.99,68
frame,IKEA,29.99,1.49,139.99,67
box,IKEA,7.99,2.99,55.0,67
duvet cover and pillowcases,IKEA,29.99,17.99,79.99,58
armchair,IKEA,269.0,45.0,699.0,56
vase,IKEA,14.99,0.99,49.99,54
wardrobe combination,IKEA,565.0,165.0,995.0,54
nightstand,IKEA,89.99,14.99,199.99,54
storage combination,IKEA,222.5,29.99,848.0,54
food container with lid,IKEA,8.99,1.99,15.99,51
desk,IKEA,193.24,59.99,649.0,50
bookcase,IKEA,149.0,24.99,837.0,49
plant pot,IKEA,9.49,0.69,49.99,48
countertop,IKEA,119.0,39.0,349.0,47
mirror,IKEA,79.99,4.99,199.99,46
wall shelf,IKEA,25.0,1.99,299.0,45
bedroom furniture,IKEA,528.99,199.98,928.98,45
led bulb e lumen,IKEA,10.99,2.49,21.99,44
bed frame,IKEA,249.0,59.0,499.0,44
scented candle in glass,IKEA,4.99,0.99,11.99,44
table lamp,IKEA,29.99,12.99,299.99,44
pendant lamp,IKEA,49.99,7.99,249.99,41
box with lid,IKEA,9.99,0.89,37.99,41
cabinet with doors,IKEA,129.0,29.99,499.0,41
basket,IKEA,21.49,3.99,39.99,40
dish towel,IKEA,5.99,0.99,12.99,39
chair pad,IKEA,14.99,2.99,65.0,39
place mat,IKEA,4.99,0.99,8.99,38
tv unit,IKEA,179.99,24.99,449.99,37
side table,IKEA,55.0,9.99,199.99,36
coffee table,IKEA,159.99,29.99,449.99,36
picture,IKEA,27.49,12.99,99.99,36
bed frame with storage,IKEA,499.0,319.0,969.0,35
cushion cover,IKEA,9.99,4.99,24.99,35
storage case,IKEA,12.99,1.99,29.99,34
bowl,IKEA,3.99,1.0,49.99,34
glassdoor cabinet,IKEA,243.5,54.99,599.0,32
extendable table,IKEA,449.99,119.99,799.99,31
plate,IKEA,4.99,0.59,24.99,29
gift wrap,IKEA,4.99,1.29,4.99,28
bath towel,IKEA,11.99,2.99,16.99,28
door mat,IKEA,19.99,1.99,59.99,28
loveseat,IKEA,480.0,99.99,999.0,27
paper napkin,IKEA,2.99,1.49,9.99,27
glass,IKEA,6.99,0.59,19.99,27
cover for sofa,IKEA,149.0,69.0,300.0,27
hook,IKEA,4.0,0.99,14.99,27
desk and chair,IKEA,239.98,64.98,829.98,27
curtains,IKEA,49.99,9.99,99.99,27
lamp shade,IKEA,6.99,4.99,19.99,27
throw,IKEA,19.99,2.99,79.99,26
ottoman,IKEA,219.0,50.0,399.0,26
storage box with lid,IKEA,10.99,4.99,29.99,26
piece dinnerware set,IKEA,64.99,4.99,149.99,26
cushion,IKEA,30.0,3.99,319.0,25
sheer curtains,IKEA,24.99,4.99,79.99,25
storage box,IKEA,19.99,1.99,229.99,25
shelving unit,IKEA,135.0,40.0,465.0,25
wardrobe with doors,IKEA,199.99,129.99,299.99,25
curtain rod,IKEA,10.0,2.0,39.99,25
plant stand,IKEA,39.99,12.99,299.99,24
door,IKEA,77.5,18.0,184.0,24
jar with lid,IKEA,5.99,2.99,19.99,24
seat modular sofa,IKEA,380.0,70.0,930.0,24
storage combination with boxes,IKEA,119.99,84.99,179.99,23
roller blind,IKEA,42.99,19.99,69.99,23
sideboard,IKEA,299.0,49.0,599.0,23
bathroom vanity with sink faucet,IKEA,599.0,489.0,953.0,23
stool,IKEA,39.99,9.99,64.99,23
tv storage combination,IKEA,266.98,110.96,947.99,22
pegboard combination,IKEA,45.99,23.99,68.99,22
utility cart,IKEA,59.99,19.99,239.99,22
shelf unit with inserts,IKEA,87.5,11.99,424.99,22
decoration,IKEA,9.99,2.49,24.99,22
cabinet,IKEA,129.0,23.0,449.0,21
cellular blind,IKEA,44.99,29.99,79.99,21
mug,IKEA,4.99,0.99,7.99,21
piece flatware set,IKEA,29.99,1.99,99.99,21
bluetooth speaker,IKEA,79.99,31.98,159.98,20
side plate,IKEA,3.49,1.0,19.99,20
room darkening curtains,IKEA,49.99,19.99,89.99,20
tealight holder,IKEA,4.49,0.49,12.99,20
shopping bag,IKEA,2.99,0.89,4.99,20
precut fabric,IKEA,19.99,14.99,24.99,20
swivel chair,IKEA,129.99,34.99,549.0,19
bin with lid,IKEA,17.99,3.99,39.99,19
base cabinet with drawers,IKEA,240.0,110.0,514.0,19
handle,IKEA,12.0,1.0,22.0,19
bath faucet,IKEA,85.0,40.0,130.0,18
bookcase with doors,IKEA,149.0,99.0,278.0,18
serving bowl,IKEA,8.99,2.49,24.99,18
high cabinet with doors,IKEA,299.0,199.0,450.0,18
sofa,IKEA,799.0,199.0,899.0,17
sleeper sofa,IKEA,599.0,349.0,999.0,17
chaise,IKEA,540.0,44.99,800.0,17
deep platebowl,IKEA,5.49,1.0,14.99,17
rug flatwoven,IKEA,59.99,39.99,299.99,17
flatware tray,IKEA,19.99,3.99,50.97,17
artificial flower,IKEA,2.99,0.69,14.99,17
fitted sheet,IKEA,12.99,8.99,94.99,17
food container,IKEA,6.99,2.99,12.99,16
tree ornament,IKEA,9.99,1.99,16.99,16
